layer,stage,factor,alpha,beta,gamma,n_images,count,mean,std,p05,p50,p95,min,max,status
model.16.eca,Fusion/Detect,w_eca,-0.03924560546875,0.061859130859375,-0.019805908203125,146,9344,0.5076702905831578,0.06652238546075252,0.4098438203334808,0.49194103479385376,0.6390438109636307,0.3903493285179138,0.69160395860672,Hard_Test_aggregate_from_seed42_best_checkpoint
model.16.eca,Fusion/Detect,w_sup,-0.03924560546875,0.061859130859375,-0.019805908203125,146,9344,0.9565013383502421,0.002299153876498813,0.9517779529094696,0.9569829702377319,0.958737576007843,0.941752016544342,0.9588711857795715,Hard_Test_aggregate_from_seed42_best_checkpoint
model.16.eca,Fusion/Detect,w_rec,-0.03924560546875,0.061859130859375,-0.019805908203125,146,9344,0.9828768573025216,0.004267728808800795,0.9782753586769104,0.9812001287937164,0.9909241825342179,0.9779419302940369,0.9940892457962036,Hard_Test_aggregate_from_seed42_best_checkpoint
model.16.eca,Fusion/Detect,w_bri,-0.03924560546875,0.061859130859375,-0.019805908203125,146,146,0.9914610704330549,6.36434041488253e-05,0.991382971405983,0.991462230682373,0.9915563017129898,0.99137282371521,0.9916104078292847,Hard_Test_aggregate_from_seed42_best_checkpoint
model.16.eca,Fusion/Detect,w_stat,-0.03924560546875,0.061859130859375,-0.019805908203125,146,9344,0.932090422521307,0.003487338153424112,0.9281466454267502,0.9312554895877838,0.9389158576726914,0.921545684337616,0.9434627294540405,Hard_Test_aggregate_from_seed42_best_checkpoint
model.16.eca,Fusion/Detect,w_final,-0.03924560546875,0.061859130859375,-0.019805908203125,146,9344,0.4730778753259921,0.06115481263372483,0.38456409573554995,0.4584247022867203,0.5951802402734756,0.36817434430122375,0.6423934102058411,Hard_Test_aggregate_from_seed42_best_checkpoint
model.19.eca,Fusion/Detect,corr,-0.002593994140625,0.051025390625,0.016021728515625,146,146,0.49667697389648385,0.004450753052400093,0.49063368886709213,0.49527089297771454,0.5026604384183884,0.4891440272331238,0.5038776397705078,Hard_Test_aggregate_from_seed42_best_checkpoint
model.19.eca,Fusion/Detect,w_eca,-0.002593994140625,0.051025390625,0.016021728515625,146,18688,0.502613102833817,0.05102746757138824,0.44599633365869523,0.49318018555641174,0.5842732459306715,0.372181236743927,0.8224830031394958,Hard_Test_aggregate_from_seed42_best_checkpoint
model.19.eca,Fusion/Detect,w_sup,-0.002593994140625,0.051025390625,0.016021728515625,146,18688,0.9634944616740391,0.002429739797637848,0.9583556085824967,0.9642949402332306,0.965711772441864,0.9439122080802917,0.9658159613609314,Hard_Test_aggregate_from_seed42_best_checkpoint
model.19.eca,Fusion/Detect,w_rec,-0.002593994140625,0.051025390625,0.016021728515625,146,18688,0.9987081880394165,0.00016745089037426843,0.9985693097114563,0.9986573159694672,0.9990133821964264,0.9985429048538208,0.9996424913406372,Hard_Test_aggregate_from_seed42_best_checkpoint
model.19.eca,Fusion/Detect,w_bri,-0.002593994140625,0.051025390625,0.016021728515625,146,146,1.0079576250624984,7.130249974950442e-05,1.0078608393669128,1.007935106754303,1.0080534517765045,1.007836937904358,1.0080729722976685,Hard_Test_aggregate_from_seed42_best_checkpoint
model.19.eca,Fusion/Detect,w_stat,-0.002593994140625,0.051025390625,0.016021728515625,146,18688,0.9699068656861016,0.0023859768281836355,0.9648273676633835,0.9707071781158447,0.972065782546997,0.9502041935920715,0.9722003936767578,Hard_Test_aggregate_from_seed42_best_checkpoint
model.19.eca,Fusion/Detect,w_final,-0.002593994140625,0.051025390625,0.016021728515625,146,18688,0.4874724075485225,0.0493119038131588,0.4329190135002136,0.4784518629312515,0.5666889309883116,0.3599047064781189,0.7960529327392578,Hard_Test_aggregate_from_seed42_best_checkpoint
model.22.eca,Fusion/Detect,corr,0.0193634033203125,0.01194000244140625,0.006443023681640625,146,146,0.5007530748844147,0.003680530539431044,0.49802204966545105,0.4990593194961548,0.5093500763177872,0.4976264536380768,0.513533890247345,Hard_Test_aggregate_from_seed42_best_checkpoint
model.22.eca,Fusion/Detect,w_eca,0.0193634033203125,0.01194000244140625,0.006443023681640625,146,37376,0.4998380997439859,0.03710924674358157,0.4396113082766533,0.49968454241752625,0.5608493238687515,0.3802080750465393,0.6047354340553284,Hard_Test_aggregate_from_seed42_best_checkpoint
model.22.eca,Fusion/Detect,w_sup,0.0193634033203125,0.01194000244140625,0.006443023681640625,146,37376,0.9905730622026381,0.002033621511559324,0.9863859117031097,0.9915001094341278,0.991784930229187,0.9716470837593079,0.9917916059494019,Hard_Test_aggregate_from_seed42_best_checkpoint
model.22.eca,Fusion/Detect,w_rec,0.0193634033203125,0.01194000244140625,0.006443023681640625,146,37376,1.0097005221903426,0.0010609135528889147,1.0076248049736023,1.0100256204605103,1.0108798742294312,1.0050981044769287,1.0110034942626953,Hard_Test_aggregate_from_seed42_best_checkpoint
model.22.eca,Fusion/Detect,w_bri,0.0193634033203125,0.01194000244140625,0.006443023681640625,146,146,1.0032263683946165,2.3710574673161663e-05,1.0032087564468384,1.0032154321670532,1.0032817721366882,1.0032062530517578,1.003308653831482,Hard_Test_aggregate_from_seed42_best_checkpoint
model.22.eca,Fusion/Detect,w_stat,0.0193634033203125,0.01194000244140625,0.006443023681640625,146,37376,1.0034104628896672,0.002844359028091396,0.9977778494358063,1.004593312740326,1.0058113634586334,0.9827245473861694,1.006018042564392,Hard_Test_aggregate_from_seed42_best_checkpoint
model.22.eca,Fusion/Detect,w_final,0.0193634033203125,0.01194000244140625,0.006443023681640625,146,37376,0.5015024544475026,0.03670745692946081,0.44144531339406967,0.5016335248947144,0.5608387142419815,0.3824494481086731,0.6061951518058777,Hard_Test_aggregate_from_seed42_best_checkpoint
